baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed
ENSG00000163110,2010.24533340129,-1.6375623432928,0.223019497733142,-7.34268689481246,2.09347885569525e-13,5.64846763752275e-11,Not Significant
ENSG00000154734,46879.2611250947,-2.41194547078856,0.328885555721269,-7.33369230977321,2.23896813679237e-13,5.94807719786627e-11,Not Significant
ENSG00000181061,2314.91544964269,-1.46037132419443,0.200031707957703,-7.30069916966977,2.86276175966537e-13,7.49002576756084e-11,Not Significant
ENSG00000116285,5394.79510957383,-2.37090203397604,0.325219188581133,-7.29016650069085,3.09572201740767e-13,7.97864593979039e-11,Not Significant
ENSG00000162840,811.734647540257,-2.25584484656673,0.311006287366897,-7.25337376831066,4.06516243911436e-13,1.03231213233275e-10,Not Significant
ENSG00000167191,3926.50865201909,-1.9745765436302,0.274460084642234,-7.19440331807852,6.27345010598954e-13,1.54757052043182e-10,Not Significant
ENSG00000173838,78.9430574668902,-3.87412615446765,0.539219758969248,-7.18468878416711,6.73604469946729e-13,1.63828197000565e-10,Not Significant
ENSG00000011198,2746.25991018942,-1.38648288860579,0.195864494684192,-7.07878623351989,1.45422501921664e-12,3.43993940162094e-10,Not Significant
ENSG00000103064,872.575209820601,-1.45095524382304,0.205034259480988,-7.07664781239929,1.47683220366014e-12,3.44620790443287e-10,Not Significant
ENSG00000162616,2710.82597689192,-1.56994014316948,0.224876039960505,-6.98135801148586,2.92340273330011e-12,6.58146286227476e-10,Not Significant
ENSG00000077684,2601.57135428828,-1.29215696336675,0.185101192396809,-6.98081382748042,2.93475006019896e-12,6.58146286227476e-10,Not Significant
ENSG00000146122,1264.54963819755,-1.35982395598733,0.196208561693407,-6.93050264601691,4.19347923647827e-12,9.05162493193835e-10,Not Significant
ENSG00000122035,1693.0641028415,-2.26304866844058,0.331385164314379,-6.82905848583393,8.54737256812813e-12,1.79995157934679e-09,Not Significant
ENSG00000185950,3489.89859808306,-1.97459429844978,0.293139653993054,-6.73601906651825,1.62784935353849e-11,3.30702383963561e-09,Not Significant
ENSG00000141298,3700.67044257003,-1.3951376172805,0.207517741676067,-6.72297995348417,1.78045087413976e-11,3.57497973193551e-09,Not Significant
ENSG00000009413,12435.4542937949,-1.21719841555954,0.181866223710594,-6.69282283826645,2.18906102829664e-11,4.29553475416208e-09,Not Significant
ENSG00000164442,12378.0242756194,-1.53366306912627,0.229522666672598,-6.68196780457401,2.35754828698806e-11,4.57417346288875e-09,Not Significant
ENSG00000179593,82.2363040961221,-10.0569323572981,1.519868337609,-6.61697602906792,3.66620916234563e-11,6.95693404564663e-09,Not Significant
ENSG00000164105,800.007719932264,-1.47323858443379,0.223164467009729,-6.60158225085879,4.06792465339025e-11,7.63531770812422e-09,Not Significant
ENSG00000114098,1301.8137066578,-1.41237339857675,0.214324189400642,-6.58989264126674,4.40144731262122e-11,8.17249378433799e-09,Not Significant
ENSG00000124440,280.454074508754,-2.57745370193035,0.393062768665893,-6.55735904644078,5.47690369038201e-11,1.00611886090975e-08,Not Significant
ENSG00000105835,2702.2040205418,-1.22295418901666,0.188691361253401,-6.4812410112104,9.09712185549991e-11,1.63634479375805e-08,Not Significant
ENSG00000164125,10252.8825824383,-1.19622179479957,0.186410012187175,-6.41715421164418,1.38845260889664e-10,2.44635381236716e-08,Not Significant
ENSG00000179820,6016.52771131439,-1.29506911633483,0.203907616757214,-6.35125424410617,2.1356639369661e-10,3.65135097658718e-08,Not Significant
